Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2021-06-11,395.27996826171875,395.3917536695252,393.89191873202867,395.1775077811149,45570800
2021-06-14,396.1650085449219,396.26746903201445,394.1527857880061,395.3917787091995,42358500
2021-06-15,395.4383239746094,396.35125703166875,394.5626337646086,396.3140141846101,51508500
2021-06-16,393.2304992675781,395.8016775286566,391.19035858653814,395.5781066988787,80386100
2021-06-17,393.1000671386719,394.0782178856841,390.63137795315737,392.82060361942723,90949700
2021-06-18,387.7969665527344,390.51671667728624,387.5913466663332,389.82509911514796,118676300
2021-06-21,393.3486633300781,393.53560087943845,388.7409408172673,389.5540649639203,72822000
2021-06-22,395.4516296386719,396.28346475320944,392.61969941589416,393.33938339648705,57700300
2021-06-23,394.9750061035156,396.33020373335535,394.8908927490569,395.5264348867474,49445400
2021-06-24,397.3114929199219,397.73205959660106,396.8628599421337,397.11522847080494,45110300
2021-06-25,398.72283935546875,399.17147241602134,397.73213297075046,398.05925946140326,58129500
2021-06-28,399.526611328125,399.69483801915226,398.04990728021846,399.2462335097463,53159600
2021-06-29,399.7416076660156,400.5453764693619,399.2088612604478,399.9098343658785,35970500
2021-06-30,400.07806396484375,400.7509992918403,399.2555842848848,399.2836220683984,64827900
2021-07-01,402.2930603027344,402.4519600618117,400.76960779298105,400.835038783346,53441000
2021-07-02,405.3680114746094,405.7231756894549,402.37718195001327,403.4520300284134,57697700
2021-07-06,404.6296691894531,405.63908633581775,401.90056347036705,405.42411100289456,68710400
2021-07-07,406.0596923828125,406.34009873848606,403.3025486160357,405.31199914635374,63549500
2021-07-08,402.7510986328125,403.50814726468866,399.57333123869796,400.7509751205796,97595200
2021-07-09,407.0503845214844,407.349473214676,402.55481277928465,404.25584763381096,76238600
2021-07-12,408.5084228515625,408.76079142536776,406.53636552867664,406.9662877159468,52889600
2021-07-13,407.11572265625,409.218641418567,406.8540272400681,407.7232268163871,52911300
2021-07-14,407.72332763671875,409.29352904474496,406.48028123314407,408.8075027783235,64130400
2021-07-15,406.3306884765625,407.0596992666777,404.43338933545084,406.38676403559714,55126400
2021-07-16,403.1435852050781,407.5550430583768,402.7510563008199,407.5083229344722,75874700
2021-07-19,397.1900634765625,403.209088281005,394.38617099707693,398.33031422579336,147987000
2021-07-20,402.8818664550781,404.152978910122,397.05910751566546,397.85354923473506,99608200
2021-07-21,406.1437683105469,406.28398573679834,402.83519609526724,404.07824240394586,64724400
2021-07-22,406.9942321777344,407.2372452604418,405.33994628759945,406.32129700633567,47878500
2021-07-23,411.18145751953125,411.5179109011736,408.2373763394922,408.91963853760046,63766600
2021-07-26,412.19085693359375,412.20021236866125,410.5459261537889,410.5926462837905,43719200
2021-07-27,410.3122253417969,411.18142503169713,407.4896224241449,411.15338725210887,67397100
2021-07-28,410.1439514160156,411.51785959844165,408.72332311063053,410.93839316496434,52472400
2021-07-29,411.8450927734375,412.9199125840506,411.0600062546591,411.0693616907412,47435300
2021-07-30,409.8449401855469,411.29360644207577,409.1532940336554,409.28415602981516,68951200
2021-08-02,408.98504638671875,412.1067095157106,408.62988215553224,411.55528082300833,58783300
2021-08-03,412.3123474121094,412.43385397257424,407.5924735593852,409.7795060797524,58053900
2021-08-04,410.2842712402344,412.2843664783354,410.0506135217893,411.0319645301903,46732200
2021-08-05,412.8824768066406,412.96659014888616,411.12536648595767,411.4431375086628,38969700
2021-08-06,413.564697265625,413.9852924570962,412.91979985078956,413.2002061526581,46930000
2021-08-09,413.2283020019531,413.8544886377314,412.4618979342041,413.53671760242094,41222600
2021-08-10,413.74237060546875,414.4526991663154,412.9946773475972,413.6769396016709,43339300
2021-08-11,414.77044677734375,414.8639155599606,413.6862716488568,414.80783999492405,44034300
2021-08-12,416.0133972167969,416.1536146197165,413.7235694454802,414.620806801795,38909400
2021-08-13,416.77056884765625,416.7892511950456,415.9761269822574,416.46212471839107,39470300
2021-08-16,417.751953125,417.8827866125121,413.91996092666375,415.471451563948,73740000
2021-08-17,415.013427734375,415.87327201338974,412.0319534928369,415.2003367624512,92673900
2021-08-18,410.4711608886719,415.5649103189403,410.22817626839674,414.00406428357036,89351900
2021-08-19,411.10662841796875,412.30298304453,407.6111188768107,407.7513077712783,92812200
2021-08-20,414.3778991699219,414.7050256555393,410.96650244315384,411.45252871527185,72008700
2021-08-23,418.02294921875,418.9295421673049,414.45265298648917,416.0602189821948,54973000
